Itr,NumTrajs,PolicyExecTime,StdReturn,AverageDiscountedReturn,Average greedy latency,EnvExecTime,Average latency,MaxReturn,Average reward,MinReturn,AverageReturn
81,10000,1.6499347686767578,1.6905958740946614,-6.673676290107274,828.6692305350848,0.9352600574493408,994.6290821072198,-2.4086468581183684,-6.882481393633634,-12.448623437171795,-7.211115878728595
82,10000,1.6422827243804932,1.8112090347914471,-6.094028867982789,821.9988200412341,0.9417638778686523,913.8393131410899,-2.4029489592847586,-6.297914873647899,-13.215500060993097,-6.590048648330259
83,10000,1.6318821907043457,1.7832115809058258,-6.471529773017501,831.497837866279,0.9454104900360107,1036.7439350041934,-2.276936526025123,-7.160922049755885,-12.67997141298879,-6.997712360897763
84,10000,1.516026258468628,1.8490346457487326,-6.087606739139892,819.1575213096347,0.9274272918701172,892.5541283545848,-2.2925384411708274,-6.159182096838467,-12.711066547139135,-6.587849679951925
85,10000,1.5162687301635742,1.8329786867906732,-6.4590790807732015,825.1579907811574,0.9289774894714355,930.9535275981849,-2.4462716174872217,-6.457741194722425,-12.780674600783076,-6.995562652075323
86,10000,1.4970588684082031,1.8880011406610864,-6.622266997249934,838.1271039489473,0.9442527294158936,1142.8497948943384,-2.4473420305651024,-7.926930014517585,-12.238381311445613,-7.166635947438137
87,10000,1.5149803161621094,1.8141511653339804,-6.353722145112892,827.527880707155,0.9203946590423584,1101.718973854531,-2.338276002752416,-7.660054473460824,-12.035448294330655,-6.8640518839594735
88,10000,1.501526117324829,1.6902868126588042,-5.918274633902285,806.7160132974761,0.9238736629486084,958.9521334722791,-2.448921425583598,-6.688647875304728,-12.858562847821993,-6.40915937632584
89,10000,1.5087394714355469,1.7145134081765494,-6.358171419597096,818.4626591922897,0.9331319332122803,975.2155761178099,-2.6521627419072575,-6.718922278110049,-13.087767675411635,-6.888600768513391
90,10000,1.5186610221862793,1.6720602076584967,-6.157252091919529,809.3655238635336,0.9292738437652588,1006.5441239659935,-2.4793026467742014,-7.060688450115779,-12.218693396008046,-6.672567988929543
91,10000,1.520190954208374,1.754159252028403,-5.980464613784493,820.8726542891502,0.9145135879516602,963.6360145197787,-2.4935297866389354,-6.673503811889466,-12.366128191605517,-6.471584255650649
